Ticker,Mode,DA (%),MAPE (%),RMSE,MAE,R2,Actual Last,Pred Last
BABA,Baseline (LSTM+PSO),47.6,1.83,2.2842,1.5979,0.9594,88.59,90.76000213623047
BABA,Hybrid (LSTM+PSO+Sentiment),52.21,1.83,2.278,1.5953,0.9596,88.59,91.01
