Date,Actual,Baseline_Pred,Hybrid_Pred,Baseline_Error,Hybrid_Error
2024-01-11,197.92999267578122,197.91667,199.06875250358013,0.013320922851534078,-1.138759827798907
2024-04-11,195.77999877929688,197.90784,198.50794718445198,-2.127838134765625,-2.7279484051551037
2024-04-11,195.77999877929688,195.62184,196.32030211960355,0.1581573486328125,-0.5403033403066786
2024-04-11,195.77999877929688,195.80048,196.54313505731795,-0.020477294921875,-0.7631362780210793
2024-05-11,199.5,195.78748,196.4786653339381,3.7125244140625,3.021334666061904
2024-05-11,199.5,199.78737,200.3631636924566,-0.2873687744140625,-0.8631636924565953
2024-05-11,199.5,199.423,200.57031982443868,0.076995849609375,-1.070319824438684
2024-05-11,199.5,199.46562,200.23298811702526,0.0343780517578125,-0.7329881170252577
2024-06-11,207.08999633789068,199.41753,200.37596903276008,7.672470092773494,6.7140273051306
2024-06-11,207.08999633789068,208.09724,209.2676494451972,-1.0072479248046307,-2.1776531073065257
2024-06-11,207.08999633789068,206.40999,207.49834780908847,0.6800079345703693,-0.4083514711977898
2024-06-11,207.08999633789068,206.89635,208.10472947495737,0.19364929199224434,-1.0147331370666848
2024-07-11,210.0500030517578,206.75858,207.42528932701325,3.2914276123046875,2.6247137247445664
2024-08-11,208.17999267578128,210.49887,211.54501646046515,-2.3188781738280966,-3.3650237846838706
2024-08-11,208.17999267578128,207.14763,208.34991997913295,1.032363891601591,-0.1699273033516704
2024-12-11,208.9100036621093,208.26021,209.11281115972807,0.6497955322264772,-0.20280749761877814
2024-12-11,208.9100036621093,208.83417,209.8347167946211,0.07583618164053973,-0.9247131325118119
2024-12-11,208.9100036621093,208.6921,209.50802050241387,0.21791076660147723,-0.5980168403045809
