Ticker,Mode,DA (%),MAPE (%),RMSE,MAE,R²,Actual Last,Pred Last
AAPL,LSTM + PSO,57.3170731707317,1.538646991496954,4.134721172871341,3.7077048428087296,0.8315157305032526,251.06448364257812,247.65988159179688
AAPL,LSTM + PSO + Sentiment,59.756097560975604,1.4539815979048478,3.897491702674991,3.477818987641184,0.8502946565723691,251.06448364257812,249.49124219179689
BABA,LSTM + PSO,47.93713163064833,1.7775768119529067,2.2189554506814515,1.5578641309551162,0.9621175695730174,88.59,90.76495361328125
BABA,LSTM + PSO + Sentiment,47.54420432220039,1.7741940804267098,2.212439534294043,1.5551652547173715,0.9623397248494738,88.59,91.00929701328126
META,LSTM + PSO,35.047361299052774,1.2485784819453796,10.698514655343207,6.6750911848738355,0.9922117986429201,748.91,756.630859375
META,LSTM + PSO + Sentiment,35.047361299052774,1.247915632072047,10.669929635004861,6.656986400203226,0.9922533611378715,748.91,756.830068375
GOOGLE,LSTM + PSO,51.17056856187291,1.1253826650763348,2.3994325108750023,1.6916150900915592,0.9876548697111649,173.88999999999996,174.71449279785156
GOOGLE,LSTM + PSO + Sentiment,51.17056856187291,1.1253826650763348,2.3994325108750023,1.6916150900915592,0.9876548697111649,173.88999999999996,174.71449279785156
AMAZON,LSTM + PSO,41.17647058823529,0.6381758849548417,2.3161153794317393,1.3094804551866224,0.8067699127762474,208.9100036621093,208.6920928955078
AMAZON,LSTM + PSO + Sentiment,47.05882352941176,0.7911046798858288,2.2568556521736833,1.6143289697322827,0.8165313208274212,208.9100036621093,209.50802050241387
