Ticker,Mode,DA (%),MAPE (%),RMSE,MAE,R2,Actual Last,Pred Last
AAPL,Baseline (LSTM+PSO),50.0,1.21,3.2661,2.9158,0.8949,226.99,221.97000122070312
AAPL,Hybrid (+Sentiment),54.88,0.9,2.673,2.1627,0.9296,226.99,224.34
