Model,R²,DA%,MAPE%,MAE,RMSE
Baseline (LSTM+PSO),0.9922117986429201,35.047361299052774,1.2485784819453796,6.6750911848738355,10.698514655343207
Hybrid (Factor Adjustment),0.9922533611378715,35.047361299052774,1.247915632072047,6.656986400203226,10.669929635004861
