"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"25/09/2025","748.91","753.45","756.77","744.55","10.59M","-1.54%"
"24/09/2025","760.66","757.50","761.11","752.53","8.83M","0.70%"
"23/09/2025","755.40","769.25","770.60","751.07","10.87M","-1.28%"
"22/09/2025","765.16","781.84","785.73","764.47","11.71M","-1.70%"
"19/09/2025","778.38","786.42","790.80","769.19","23.70M","-0.24%"
"18/09/2025","780.25","780.75","788.78","773.36","10.95M","0.58%"
"17/09/2025","775.72","779.99","783.29","766.31","9.40M","-0.42%"
"16/09/2025","779.00","767.00","781.36","765.10","11.78M","1.87%"
"15/09/2025","764.70","757.47","774.07","751.98","10.53M","1.21%"
"12/09/2025","755.59","748.72","757.57","743.76","8.25M","0.62%"
"11/09/2025","750.90","754.65","757.10","748.37","7.92M","-0.14%"
"10/09/2025","751.98","765.13","765.70","751.00","12.48M","-1.79%"
"09/09/2025","765.70","757.49","766.30","753.43","11.00M","1.78%"
"08/09/2025","752.30","755.99","766.51","752.02","13.09M","-0.02%"
"05/09/2025","752.45","752.61","757.95","745.03","9.66M","0.51%"
"04/09/2025","748.65","748.57","761.16","745.82","11.44M","1.57%"
"03/09/2025","737.05","736.00","740.25","733.99","7.70M","0.26%"
"02/09/2025","735.11","726.04","736.00","721.73","9.35M","-0.49%"
"29/08/2025","738.70","745.28","747.14","735.35","9.07M","-1.65%"
"28/08/2025","751.11","744.00","753.05","740.79","7.47M","0.50%"
"27/08/2025","747.38","752.30","754.15","742.84","8.32M","-0.89%"
"26/08/2025","754.10","750.80","754.87","747.94","7.60M","0.11%"
"25/08/2025","753.30","754.82","758.88","750.13","6.86M","-0.20%"
"22/08/2025","754.79","739.23","756.90","734.39","10.61M","2.12%"
"21/08/2025","739.10","744.71","745.50","733.11","8.88M","-1.15%"
"20/08/2025","747.72","747.57","750.20","731.00","11.90M","-0.50%"
"19/08/2025","751.48","767.12","767.17","749.36","12.29M","-2.07%"
"18/08/2025","767.37","775.09","775.81","756.56","16.51M","-2.27%"
"15/08/2025","785.23","784.15","796.25","780.82","13.38M","0.40%"
"14/08/2025","782.13","777.88","787.81","772.51","8.12M","0.26%"
"13/08/2025","780.08","791.15","795.46","778.23","8.81M","-1.26%"
"12/08/2025","790.00","773.00","793.67","772.43","14.58M","3.15%"
"11/08/2025","765.87","770.08","773.46","764.67","7.61M","-0.45%"
"08/08/2025","769.30","762.75","769.90","758.58","7.32M","0.98%"
"07/08/2025","761.83","773.49","775.00","759.55","9.02M","-1.32%"
"06/08/2025","771.99","770.00","773.64","760.46","9.73M","1.12%"
"05/08/2025","763.46","776.45","783.13","763.00","11.64M","-1.66%"
"04/08/2025","776.37","760.00","776.85","758.41","15.80M","3.51%"
"01/08/2025","750.01","760.73","766.00","745.31","19.03M","-3.03%"
"31/07/2025","773.44","775.20","784.75","765.51","38.83M","11.25%"
"30/07/2025","695.21","708.09","708.50","691.20","27.08M","-0.68%"
"29/07/2025","700.00","720.00","724.47","699.91","13.27M","-2.46%"
"28/07/2025","717.63","715.20","724.74","712.68","8.72M","0.69%"
"25/07/2025","712.68","716.91","720.65","711.90","8.27M","-0.30%"
"24/07/2025","714.80","717.05","723.62","714.00","10.92M","0.17%"
"23/07/2025","713.58","706.36","714.63","704.93","8.77M","1.24%"
"22/07/2025","704.81","716.19","716.60","701.41","8.92M","-1.14%"
"21/07/2025","712.97","706.80","717.00","705.76","9.40M","1.23%"
"18/07/2025","704.28","702.19","704.71","691.65","12.78M","0.41%"
"17/07/2025","701.41","704.39","705.90","697.10","11.80M","-0.21%"
"16/07/2025","702.91","713.37","713.97","699.27","13.07M","-1.05%"
