Date,Close,High,Low,Open,Volume
2013-07-10,15.09239387512207,15.244013363110286,15.018130897784715,15.055572235543288,312292400
2013-08-10,14.881674766540527,15.181820237600014,14.869297327058533,15.160158892242208,290917200
2013-09-10,15.056499481201172,15.093630144042551,14.799364394246616,14.996160708121488,301725200
2013-10-10,15.150876998901367,15.235659982574637,15.070425292885398,15.202862245960985,278602800
2013-11-10,15.248970985412598,15.280841663559318,15.012257745250256,15.0688833108095,267738800
2013-01-11,16.091230392456055,16.2388276296204,15.961579615003352,16.214692450606723,274890000
2013-04-11,16.299165725708008,16.301332190505768,16.053479363482587,16.124338130883956,244627600
2013-05-11,16.258947372436523,16.36539173654061,16.183137594856298,16.232027671580244,265213200
2013-06-11,16.2128849029541,16.33551203984224,16.128228546344822,16.31341339145284,223375600
2013-07-11,15.950514793395996,16.28353708101028,15.947092369523142,16.17118217975456,262620400
2013-08-11,16.20166778564453,16.219408191364188,15.953612932503638,16.015548939055293,279316800
2013-11-11,16.154682159423828,16.236225249695565,16.010268877818607,16.18393814074946,227452400
2013-12-11,16.184560775756836,16.306253751758646,16.09087880916022,16.111730821561604,204276800
2013-02-12,17.156234741210938,17.56395176111342,17.143474209590163,17.36694058866534,472544800
2013-03-12,17.625890731811523,17.627759018893958,17.356983717402052,17.37627993158353,450968000
2013-04-12,17.584808349609375,17.715216117612194,17.454711408727704,17.60036965179203,377809600
2013-05-12,17.675064086914062,17.900398762836968,17.628691013108146,17.822901426261208,447580000
2013-06-12,17.4298095703125,17.63927211509994,17.415805730038297,17.609392823376606,344352400
2013-09-12,17.62931251525879,17.72735103332881,17.457199083523747,17.457199083523747,320493600
2013-10-12,17.601924896240234,17.674444019460097,17.466537249846677,17.540612170800475,278269600
2013-11-12,17.471521377563477,17.77062024023308,17.41954675025267,17.647058953642414,359718800
2013-12-12,17.445987701416016,17.59538078014458,17.43011558022085,17.49578650244305,262290000
2014-02-01,17.215370178222656,17.3367523172604,17.180823491046027,17.29473580655742,234684800
2014-03-01,16.837221145629883,17.233111848289237,16.820102383257986,17.20696912622057,392467600
2014-06-01,16.92903709411621,17.018360843455493,16.607530437573455,16.727356803711064,412610800
2014-07-01,16.807966232299805,16.99221691785873,16.741984444336474,16.941174778983832,317209200
2014-08-01,16.914403915405273,16.9797623682634,16.76594493482298,16.76967818385325,258529600
2014-09-01,16.698406219482422,17.02022359858922,16.66199124963824,17.018355311839862,279148800
2014-10-01,16.586986541748047,16.831617455288992,16.530030381507558,16.801427332763804,304976000
2014-03-02,15.609393119812012,15.802360217169776,15.539988925328508,15.643007322303689,401464000
2014-04-02,15.835351943969728,15.856205618059365,15.647677188048563,15.743849093767704,376681200
2014-05-02,15.953619956970217,16.037342142778865,15.75629629427911,15.76594523089924,328344800
2014-06-02,16.04660987854004,16.077607755265102,15.89945273434617,15.969901086072552,257765200
2014-07-02,16.271102905273438,16.37286015993485,16.19909110789856,16.324330034192705,370280400
2014-10-02,16.562604904174805,16.656534974003108,16.218509565415268,16.2391737125819,345559200
2014-11-02,16.78082847595215,16.836871464338916,16.57856472248394,16.613319869685842,282256800
2014-12-02,16.77957534790039,16.893544145565393,16.69566636824096,16.81182565161477,308100800
2014-03-03,16.524091720581055,16.614577195234926,16.369107295307682,16.388206328672364,238781200
2014-04-03,16.63304901123047,16.676883817266578,16.52440423963444,16.625536145179726,259140000
2014-05-03,16.668113708496094,16.742943044162267,16.566981822048287,16.623028160071097,200062800
2014-06-03,16.617698669433594,16.73323254411966,16.534727776708863,16.681570538847122,185488800
2014-07-03,16.607999801635742,16.656217245182837,16.470549320396497,16.62835125486822,220729600
2014-10-03,16.623029708862305,16.698486099018687,16.542249267244287,16.542876314762538,178584000
2014-11-03,16.784902572631836,16.86787351328259,16.675318058998467,16.764865475053885,279224400
2014-12-03,16.801177978515625,16.824346961519087,16.656840030128013,16.735428297461997,199326400
2014-01-04,16.958980560302734,16.965869721226227,16.806188334927732,16.837184542704136,200760000
2014-02-04,16.98716163635254,17.016280050255563,16.915462516693196,16.981839257148835,180420800
2014-03-04,16.869436264038086,16.985595553184126,16.833430362426096,16.950842074379334,162344000
2014-04-04,16.651203155517578,16.907317733359395,16.612379725742684,16.90136997990478,275251200
2014-07-04,16.389766693115234,16.62239960752134,16.34029850545681,16.53222684670956,289850400
2014-08-04,16.38882827758789,16.472738923195813,16.240418701426496,16.443620514550954,243888400
2014-09-04,16.60424041748047,16.609562795870517,16.3443685622776,16.363780277869825,206169600
2014-10-04,16.39008140563965,16.6643552898908,16.38037471163148,16.615510804331347,239652000
2014-11-04,16.2689151763916,16.369732713075766,16.191579315319128,16.249814472801745,271717600
2014-01-05,18.519147872924805,18.623095592879583,18.358841142255383,18.53542769278292,244048000
2014-02-05,18.55359268188477,18.60431664317293,18.46373426897345,18.546079816941045,191514400
2014-05-05,18.815961837768555,18.817215932235182,18.472806477054043,18.47719079130937,287067200
2014-06-05,18.61088752746582,18.923984812189858,18.61088752746582,18.84226632890994,374564400
2014-07-05,18.545766830444336,18.701063930477986,18.401741536850885,18.637192032776955,282864400
2014-08-05,18.5127010345459,18.71483336089996,18.46264044475276,18.52088640842448,230297200
2014-09-05,18.435571670532227,18.45792508194556,18.27153455575568,18.404086216288604,291597600
2014-12-05,18.66509056091309,18.69122222038672,18.49412752912738,18.49696248040932,213208800
2014-02-06,19.79286766052246,19.987443461697254,19.59923684284428,19.960052392018056,369350800
2014-03-06,20.07277488708496,20.110557428920227,19.780282188607604,19.786893713062263,292709200
