Date,Close,Open,High,Low,Volume,Change,Adj Close
15/11/2024,63205.4,64396.1,64396.1,63205.4,3690000,-2,63205.394
14/11/2024,64495.3,64495.3,64495.3,64197.7,1780000,0,64495.3
13/11/2024,64495.3,64594.6,65090.7,64197.7,2770000,0.15,64492.69415
12/11/2024,64396.1,64693.8,65189.9,64296.9,1730000,-0.46,64396.20852
11/11/2024,64693.8,65189.9,65289.1,64197.7,2740000,-0.76,64694.45676
08/11/2024,65189.9,65487.6,65686,65090.7,1590000,-0.3,65192.2348
07/11/2024,65388.4,65487.6,65686,65090.7,1150000,0.15,65387.03365
06/11/2024,65289.1,65487.6,65487.6,64793,2590000,0.46,65290.4609
05/11/2024,64991.5,65189.9,65487.6,64991.5,1060000,-0.15,64993.06395
04/11/2024,65090.7,65388.4,66082.9,65090.7,2120000,-0.3,65093.2327
01/11/2024,65289.1,65586.8,65785.2,65090.7,2180000,-0.45,65291.6594
31/10/2024,65586.8,66082.9,66082.9,64793,5170000,-0.3,65587.8444
30/10/2024,65785.2,66479.8,66777.5,65785.2,3430000,-1.04,65788.41008
29/10/2024,66479.8,66777.5,66777.5,66281.4,2030000,-0.3,66478.2651
28/10/2024,66678.3,67174.4,67472,66182.1,2920000,-1.18,66675.8304
25/10/2024,67472,68067.4,68067.4,67372.8,2170000,-0.58,67475.26038
24/10/2024,67868.9,66777.5,68464.3,66777.5,4370000,1.63,67865.97325
23/10/2024,66777.5,66777.5,67075.2,66678.3,1640000,0,66777.5
22/10/2024,66777.5,66777.5,67273.6,66678.3,2250000,0,66777.5
21/10/2024,66777.5,66876.7,67372.8,66678.3,1860000,-0.15,66776.38495
18/10/2024,66876.7,67075.2,67472,66876.7,1600000,-0.3,66873.9744
17/10/2024,67075.2,67075.2,67372.8,66777.5,1660000,0.15,67076.36385
16/10/2024,66975.9,66281.4,67571.3,66281.4,2000000,1.05,66977.3547
15/10/2024,66281.4,66678.3,66876.7,66182.1,3070000,-0.6,66278.2302
14/10/2024,66678.3,67571.3,67571.3,66579,2820000,-0.74,66677.30944
11/10/2024,67174.4,67571.3,67670.5,66975.9,2370000,0,67174.4
10/10/2024,67174.4,67769.7,68265.8,67174.4,2620000,-0.15,67172.6896
09/10/2024,67273.6,67769.7,68067.4,67273.6,3530000,-0.59,67271.24405
08/10/2024,67670.5,66678.3,67670.5,66678.3,2890000,1.64,67670.8956
07/10/2024,66579,68166.6,68762,66579,5990000,-2.04,66581.64872
04/10/2024,67968.2,69952.6,69952.6,67868.9,6130000,-2.56,67968.49248
03/10/2024,69754.2,69655,69952.6,69357.3,2950000,0.29,69757.41153
02/10/2024,69555.7,69655,69655,69059.6,2140000,0,69555.7
01/10/2024,69555.7,69655,70151.1,69555.7,2040000,0,69555.7
30/09/2024,69555.7,70448.8,70448.8,69555.7,2040000,-1.27,69554.10024
27/09/2024,70448.8,70250.3,70647.2,70151.1,2970000,0.42,70445.73462
26/09/2024,70151.1,69059.6,70548,69059.6,3980000,1.58,70150.74168
25/09/2024,69059.6,69754.2,69853.4,69059.6,4520000,-1,69056.658
24/09/2024,69754.2,70448.8,70448.8,69555.7,2080000,-0.21,69756.2037
23/09/2024,69903,70094.8,70190.6,69615.3,2930000,0.28,69906.39136
20/09/2024,69711.2,70478.3,70957.8,69711.2,5230000,-0.82,69710.1507
19/09/2024,70286.5,70286.5,70478.3,69998.9,1570000,0,70286.5
18/09/2024,70286.5,70574.2,70861.9,69998.9,2850000,-0.14,70283.86464
17/09/2024,70382.4,69040,70382.4,68752.3,2390000,2.09,70385.03169
16/09/2024,68944.1,69998.9,69998.9,68944.1,4030000,-1.37,68945.3289
13/09/2024,69903,71724.9,71724.9,69903,5350000,-2.41,69902.7411
12/09/2024,71629,71916.6,72108.4,71341.3,2050000,0.13,71626.09303
11/09/2024,71533.1,71724.9,72012.5,70861.9,3170000,-0.4,71533.5168
10/09/2024,71820.8,71724.9,72396.1,71245.4,3330000,0.13,71818.14237
09/09/2024,71724.9,72012.5,72012.5,71149.5,2640000,-0.8,71721.7984
06/09/2024,72300.2,71820.8,72396.1,71724.9,3640000,0.94,72302.3126
05/09/2024,71629,71245.4,72300.2,71053.6,5860000,0.54,71630.12516
04/09/2024,71245.4,70286.5,71437.2,70094.8,2840000,0.54,71244.55426
30/08/2024,70861.9,70574.2,71724.9,70382.4,3680000,0.54,70858.88282
29/08/2024,70478.3,70670.1,70957.8,70382.4,2040000,-0.54,70479.24574
28/08/2024,70861.9,70574.2,70957.8,70190.6,3350000,0.54,70858.88282
27/08/2024,70478.3,70382.4,70766,69615.3,4270000,0.14,70480.93536
26/08/2024,70382.4,71820.8,71916.6,70286.5,6320000,-2,70384.384
23/08/2024,71820.8,71820.8,72492,71341.3,3310000,0.94,71818.3053
22/08/2024,71149.5,72875.5,72875.5,70574.2,6030000,-1.46,71150.11722
21/08/2024,72204.3,72108.4,72971.4,72012.5,3990000,-0.4,72202.032
20/08/2024,72492,72875.5,73067.3,72204.3,4180000,-0.53,72489.25985
19/08/2024,72875.5,70957.8,72875.5,70766,7920000,2.98,72874.8268
16/08/2024,70766,70957.8,71053.6,70190.6,7390000,0,70766
15/08/2024,70766,70957.8,71533.1,70670.1,4260000,-0.27,70766.21394
14/08/2024,70957.8,70957.8,71053.6,70286.5,5460000,0.27,70957.0682
13/08/2024,70766,69807.1,71341.3,69711.2,6730000,1.1,70768.8879
12/08/2024,69998.9,70286.5,71341.3,69807.1,5800000,-0.41,69998.32535
09/08/2024,70286.5,69807.1,70382.4,69519.4,4530000,0.83,70289.80296
08/08/2024,69711.2,70861.9,71341.3,69231.8,5810000,-1.49,69711.5866
07/08/2024,70766,70190.6,70766,69423.5,10700000,1.51,70763.83912
06/08/2024,69711.2,67409.9,70286.5,67122.2,13500000,4.75,69707.87775
05/08/2024,66546.9,68081.1,68272.9,65683.9,12160000,-2.94,66544.8213
02/08/2024,68560.5,67122.2,68944.1,67122.2,10290000,1.71,68562.60929
01/08/2024,67409.9,68848.2,68944.1,67218.1,8870000,-1.82,67406.85352
31/07/2024,68656.4,65683.9,69040,65683.9,21140000,5.76,68656.00768
30/07/2024,64916.8,64533.2,65588,64149.6,6380000,0.74,64914.13602
29/07/2024,64437.3,63478.4,64820.9,63190.8,5780000,2.13,64438.82137
26/07/2024,63094.9,62711.3,63478.4,62711.3,2980000,0.3,63091.8093
25/07/2024,62903.1,62903.1,62999,62615.4,1960000,0,62903.1
24/07/2024,62903.1,63094.9,63382.5,62903.1,3610000,-0.46,62900.12232
23/07/2024,63190.8,62903.1,63574.3,62807.2,3780000,0.76,63187.90588
22/07/2024,62711.3,62615.4,63286.6,62519.5,2650000,0.15,62709.3231
19/07/2024,62615.4,63190.8,63190.8,62423.6,3390000,-0.91,62615.76372
