Date,Adj Close,Close,High,Low,Open,Volume
07/10/2013,15.10898685,17.4196434,17.59464264,17.33392906,17.37714386,312292400
08/10/2013,14.89803505,17.17642975,17.52285767,17.16214371,17.49785614,290917200
09/10/2013,15.07305813,17.37821388,17.4210701,17.08142853,17.30857086,301725200
10/10/2013,15.16753674,17.48714256,17.58499908,17.3942852,17.54714394,278602800
11/10/2013,15.2657299,17.60035706,17.63714218,17.32714272,17.39249992,267738800
14/10/2013,15.36578274,17.7157135,17.77071381,17.47678566,17.49392891,261898000
15/10/2013,15.44756603,17.80999947,17.9285717,17.69714355,17.76821327,320073600
16/10/2013,15.5228405,17.89678574,17.94750023,17.82964325,17.8853569,251101200
17/10/2013,15.62784672,18.0178566,18.02785683,17.84571457,17.85642815,253593200
18/10/2013,15.76383781,18.17464256,18.18785667,18.0610714,18.07107162,290542000
21/10/2013,16.15012169,18.62000084,18.72500038,18.26857185,18.27750015,398106800
22/10/2013,16.10396385,18.56678581,18.87321472,18.14392853,18.80035782,534063600
23/10/2013,16.26164246,18.7485714,18.7739296,18.5357132,18.5357132,313723200
24/10/2013,16.47693253,18.99678612,19.01678658,18.65892982,18.75,384764800
25/10/2013,16.29261208,18.7842865,19.04392815,18.75392914,18.97571373,337792000
28/10/2013,16.41405106,18.92428589,18.9642868,18.6860714,18.8942852,550440800
29/10/2013,16.00514793,18.45285606,19.2589283,18.3764286,19.15250015,635807200
30/10/2013,16.25977707,18.74642944,18.84000015,18.46500015,18.55750084,354163600
31/10/2013,16.19163132,18.66785622,18.83892822,18.61678505,18.75,275696400
01/11/2013,16.10893059,18.57250023,18.74285698,18.42285728,18.71500015,274890000
04/11/2013,16.31708336,18.8125,18.81500053,18.52892876,18.61071396,244627600
05/11/2013,16.27682114,18.76607132,18.88892937,18.6785717,18.73500061,265213200
06/11/2013,16.23070526,18.60428619,18.74500084,18.50714302,18.71964264,223375600
07/11/2013,15.96803951,18.30321312,18.68535614,18.29928589,18.55642891,262620400
08/11/2013,16.21948814,18.59142876,18.61178589,18.30678558,18.37785721,279316800
11/11/2013,16.17243767,18.53750038,18.63107109,18.37178612,18.57107162,227452400
12/11/2013,16.20235252,18.57178688,18.7114296,18.4642868,18.48821449,204276800
13/11/2013,16.22167206,18.59392929,18.6517868,18.46285629,18.5,197220800
14/11/2013,16.45628738,18.86285782,18.90285683,18.63821411,18.67178535,282419200
15/11/2013,16.35751724,18.74964333,18.89607048,18.73178673,18.80642891,317920400
18/11/2013,16.15935898,18.52249908,18.82821465,18.50714302,18.74964333,244944000
19/11/2013,16.18801498,18.55535698,18.69214249,18.49892807,18.53678513,208938800
20/11/2013,16.04625511,18.3928566,18.5864296,18.36892891,18.54392815,193916800
21/11/2013,16.23756409,18.61214256,18.6146431,18.34535789,18.48571396,262026800
22/11/2013,16.1958065,18.56428528,18.64857101,18.51892853,18.55428505,223725600
25/11/2013,16.318573,18.70499992,18.78107071,18.6071434,18.60785675,229311600
26/11/2013,16.61954689,19.04999924,19.14785767,18.7142868,18.71857071,401382800
27/11/2013,17.0109024,19.4985714,19.5,19.04999924,19.15392876,363448400
29/11/2013,17.32589912,19.85964394,19.94035721,19.56464386,19.62428665,318127600
02/12/2013,17.17509842,19.68678665,20.15464211,19.67214394,19.9285717,472544800
03/12/2013,17.64526939,20.22571373,20.22785759,19.91714287,19.93928528,450968000
04/12/2013,17.60413742,20.1785717,20.32821465,20.02928543,20.1964283,377809600
05/12/2013,17.6945076,20.28214264,20.54071426,20.22892952,20.45178604,447580000
06/12/2013,17.44896698,20.00071335,20.2410717,19.98464394,20.2067852,344352400
09/12/2013,17.64869499,20.22964287,20.34214211,20.03214264,20.03214264,320493600
10/12/2013,17.62128448,20.19821358,20.28142929,20.04285622,20.12785721,278269600
11/12/2013,17.49072266,20.04857063,20.39178658,19.98892975,20.25,359718800
12/12/2013,17.46517372,20.0192852,20.19071388,20.00107193,20.07642937,262290000
13/12/2013,17.27480698,19.80107117,20.10285759,19.7739296,20.10178566,332822000
16/12/2013,17.37045097,19.9107132,20.09428596,19.82178688,19.82214355,282592800
17/12/2013,17.29224586,19.82107162,19.97999954,19.76357079,19.85035706,229902400
18/12/2013,17.1607666,19.67035675,19.69464302,19.24285698,19.63214302,565863200
19/12/2013,16.96415901,19.44499969,19.6428566,19.41892815,19.625,320308800
20/12/2013,17.10623741,19.60785675,19.70035744,19.45785713,19.47964287,436413600
23/12/2013,17.76273155,20.36035728,20.38285637,20.09857178,20.2857132,501306400
24/12/2013,17.68733406,20.2739296,20.42428589,20.21535683,20.35321426,167554800
26/12/2013,17.56986618,20.13928604,20.3392868,20.12071419,20.28928566,204008000
27/12/2013,17.45115852,20.00321388,20.15749931,19.9821434,20.13642883,225884400
30/12/2013,17.27760696,19.80428505,20.00321388,19.72571373,19.9092865,253629600
31/12/2013,17.48013115,20.03642845,20.04571342,19.7857132,19.79178619,223084400
02/01/2014,17.23430252,19.75464249,19.89392853,19.71500015,19.84571457,234684800
03/01/2014,16.85573196,19.32071495,19.77499962,19.30107117,19.74500084,392467600
06/01/2014,16.94764328,19.42607117,19.52857018,19.05714226,19.19464302,412610800
07/01/2014,16.82643509,19.28714371,19.4985714,19.2114296,19.44000053,317209200
08/01/2014,16.93300819,19.4092865,19.48428535,19.23892975,19.24321365,258529600
09/01/2014,16.71676254,19.16142845,19.53071404,19.11964226,19.52857018,279148800
10/01/2014,16.60521889,19.03357124,19.31428528,18.96821404,19.27964211,304976000
13/01/2014,16.69215393,19.13321495,19.375,18.92428589,18.92535782,378492800
14/01/2014,17.02429199,19.51392937,19.52607155,19.20214272,19.22214317,332561600
15/01/2014,17.3660965,19.90571404,20.00714302,19.70214272,19.76857185,391638800
16/01/2014,17.26918983,19.7946434,19.88750076,19.70285606,19.81785774,229278000
17/01/2014,16.84607124,19.30964279,19.71678543,19.28214264,19.69571495,426739600
21/01/2014,17.10779953,19.60964394,19.64535713,19.30071449,19.32107162,328526800
22/01/2014,17.18382263,19.69678688,19.9032135,19.56464386,19.67535782,379985200
23/01/2014,17.32933235,19.86357117,19.875,19.45750046,19.64071465,403239200
24/01/2014,17.01432419,19.50250053,19.84357071,19.4553566,19.7857132,429354800
27/01/2014,17.15234947,19.6607132,19.81428528,19.4910717,19.64535713,554878800
28/01/2014,15.78141022,18.0892868,18.3928566,17.93107033,18.17000008,1065523200
29/01/2014,15.60225773,17.8839283,18.12035751,17.80785751,17.99821472,502810000
30/01/2014,15.57203102,17.84928513,18.0892868,17.73928642,17.9478569,678501600
31/01/2014,15.5975771,17.87857056,17.91178513,17.62678528,17.68499947,464797200
03/02/2014,15.62655258,17.91178513,18.13321495,17.83214378,17.95035744,401464000
04/02/2014,15.85276413,18.1710701,18.19499969,17.95571327,18.06607056,376681200
05/02/2014,15.9711628,18.30678558,18.40285683,18.0803566,18.09142876,328344800
06/02/2014,16.06425476,18.30392838,18.3392868,18.13607025,18.21642876,257765200
07/02/2014,16.28899384,18.55999947,18.67607117,18.47785759,18.62071419,370280400
10/02/2014,16.58081055,18.89249992,18.99964333,18.5,18.52357101,345559200
11/02/2014,16.79928017,19.1414299,19.2053566,18.9107132,18.95035744,282256800
12/02/2014,16.79802704,19.13999939,19.27000046,19.04428673,19.17678642,308100800
13/02/2014,17.06476402,19.44392967,19.45892906,19.07857132,19.09499931,307398000
14/02/2014,17.05097198,19.42821312,19.49928665,19.3289299,19.37392807,272924400
18/02/2014,17.11366844,19.49964333,19.68535614,19.48607063,19.5,260251600
19/02/2014,16.84347343,19.19178581,19.53178596,19.08392906,19.4553566,313768000
20/02/2014,16.64851761,18.96964264,19.1785717,18.8928566,19.03535652,305858000
21/02/2014,16.46358681,18.7589283,19.09178543,18.73571396,19.0282135,278784800
24/02/2014,16.53567123,18.84107018,18.92571449,18.65785789,18.68392944,288909600
25/02/2014,16.36359787,18.64500046,18.91321373,18.6071434,18.90642929,231952000
26/02/2014,16.21596336,18.47678566,18.75,18.41428566,18.70035744,276217200
27/02/2014,16.53943253,18.84535789,18.88500023,18.43035698,18.46928596,301882000
28/02/2014,16.49461555,18.79428673,19.0267868,18.64714241,18.89571381,371968800
03/03/2014,16.54226112,18.84857178,18.95178604,18.67178535,18.69357109,238781200
04/03/2014,16.65133858,18.97285652,19.02285767,18.84892845,18.9642868,259140000
05/03/2014,16.68644333,19.01285744,19.0982132,18.89749908,18.9614296,200062800
06/03/2014,16.63597679,18.9553566,19.08714294,18.86071396,19.0282135,185488800
07/03/2014,16.62625885,18.94428635,18.99928665,18.78750038,18.96750069,220729600
10/03/2014,16.64130402,18.9614296,19.04750061,18.86928558,18.87000084,178584000
11/03/2014,16.80335617,19.14607048,19.24071312,19.02107048,19.12321472,279224400
12/03/2014,16.81964684,19.16464233,19.19107056,19,19.08964348,199326400
13/03/2014,16.6328373,18.95178604,19.27357101,18.89857101,19.19428635,257742800
14/03/2014,16.44602013,18.73892975,18.96035767,18.6785717,18.8853569,237199200
17/03/2014,16.51028633,18.81214333,18.92749977,18.78035736,18.84642982,199544800
18/03/2014,16.65634537,18.97857094,18.99892807,18.75714302,18.78214264,209647200
19/03/2014,16.65196037,18.97357178,19.15142822,18.8928566,19.00928688,224756000
20/03/2014,16.57171631,18.88214302,19.0239296,18.83392906,18.92464256,208398400
21/03/2014,16.70242691,19.03107071,19.0625,18.79750061,18.99749947,374046400
24/03/2014,16.90051651,19.25678635,19.3035717,19.10928535,19.22928619,355700800
25/03/2014,17.08231354,19.46392822,19.4910717,19.27107048,19.3392868,282293200
26/03/2014,16.91901207,19.27785683,19.6071434,19.24500084,19.51857185,299768000
27/03/2014,16.8462925,19.19499969,19.3392868,19.11142921,19.28642845,222031600
28/03/2014,16.82748222,19.17357063,19.24785614,19.0803566,19.22571373,200564000
31/03/2014,16.82373428,19.16928673,19.31464386,19.14035606,19.25821495,168669200
01/04/2014,16.97763252,19.34464264,19.35250092,19.17035675,19.20571327,200760000
02/04/2014,17.00583458,19.37678528,19.40999985,19.29500008,19.37071419,180420800
03/04/2014,16.88798141,19.24250031,19.375,19.20142937,19.33535767,162344000
04/04/2014,16.66950607,18.99357033,19.2857132,18.94928551,19.27892876,275251200
07/04/2014,16.40778923,18.69535637,18.96071434,18.63892937,18.85785675,289850400
08/04/2014,16.40685463,18.69428635,18.79000092,18.52499962,18.75678635,243888400
09/04/2014,16.62249184,18.94000053,18.94607162,18.64357185,18.66571426,206169600
10/04/2014,16.40810776,18.69571495,19.00857162,18.68464279,18.95285606,239652000
11/04/2014,16.28680229,18.55750084,18.67250061,18.46928596,18.5357132,271717600
14/04/2014,16.35168076,18.63142967,18.64857101,18.4717865,18.63928604,205674000
15/04/2014,16.23508453,18.4985714,18.62999916,18.26178551,18.58107185,266490000
16/04/2014,16.2679882,18.53607178,18.61035728,18.36214256,18.50178528,214765600
17/04/2014,16.45385742,18.74785614,18.84857178,18.54285622,18.5714283,284334400
21/04/2014,16.64914131,18.97035789,19.00499916,18.71285629,18.76214218,182548800
22/04/2014,16.66575432,18.98928642,18.99392891,18.8035717,18.86821365,202563200
23/04/2014,16.44791031,18.7410717,18.96892929,18.73035622,18.89500046,394940000
24/04/2014,17.79633904,20.27750015,20.3571434,20.02607155,20.2932148,759911600
