Date,AAPL
2013-07-10,12.933206558227539
2013-07-11,13.13486099243164
2013-07-12,13.110884666442871
2013-07-15,13.139474868774414
2013-07-16,13.224313735961914
2013-07-17,13.227691650390625
2013-07-18,13.272266387939453
2013-07-19,13.062928199768066
2013-07-22,13.104736328125
2013-07-23,12.879725456237793
2013-07-24,13.541243553161621
2013-07-25,13.479455947875977
2013-07-26,13.55599594116211
2013-07-29,13.765033721923828
2013-07-30,13.935023307800293
2013-07-31,13.91073989868164
2013-08-01,14.038308143615723
2013-08-02,14.218449592590332
2013-08-05,14.430856704711914
2013-08-06,14.301751136779785
2013-08-07,14.293448448181152
2013-08-08,14.264982223510742
2013-08-09,14.061997413635254
2013-08-12,14.461470603942871
2013-08-13,15.148713111877441
2013-08-14,15.425034523010254
2013-08-15,15.40677547454834
2013-08-16,15.543542861938477
2013-08-19,15.710943222045898
2013-08-20,15.504559516906738
2013-08-21,15.544472694396973
2013-08-22,15.563031196594238
2013-08-23,15.503005981445312
2013-08-26,15.56334400177002
2013-08-27,15.118386268615723
2013-08-28,15.189862251281738
2013-08-29,15.21462631225586
2013-08-30,15.075996398925781
2013-09-03,15.11807632446289
2013-09-04,15.43091106414795
2013-09-05,15.325081825256348
2013-09-06,15.416361808776855
2013-09-09,15.66236400604248
2013-09-10,15.30559253692627
2013-09-11,14.47230052947998
2013-09-12,14.626396179199219
2013-09-13,14.38535213470459
2013-09-16,13.928011894226074
2013-09-17,14.088916778564453
2013-09-18,14.37854290008545
2013-09-19,14.614328384399414
2013-09-20,14.463018417358398
2013-09-23,15.181818962097168
2013-09-24,15.134172439575195
2013-09-25,14.899921417236328
2013-09-26,15.045052528381348
2013-09-27,14.937681198120117
2013-09-30,14.752022743225098
2013-10-01,15.098896980285645
2013-10-02,15.148401260375977
2013-10-03,14.95810317993164
2013-10-04,14.946342468261719
2013-10-07,15.092394828796387
2013-10-08,14.881674766540527
2013-10-09,15.056502342224121
2013-10-10,15.150875091552734
2013-10-11,15.248963356018066
2013-10-14,15.348912239074707
2013-10-15,15.430598258972168
2013-10-16,15.505797386169434
2013-10-17,15.610687255859375
2013-10-18,15.746532440185547
2013-10-21,16.132387161254883
2013-10-22,16.086284637451172
2013-10-23,16.243778228759766
2013-10-24,16.458824157714844
2013-10-25,16.27472686767578
2013-10-28,16.39601707458496
2013-10-29,15.987571716308594
2013-10-30,16.241926193237305
2013-10-31,16.173852920532227
2013-11-01,16.091232299804688
2013-11-04,16.29916763305664
2013-11-05,16.258943557739258
2013-11-06,16.2128849029541
2013-11-07,15.950508117675781
2013-11-08,16.201675415039062
2013-11-11,16.154680252075195
2013-11-12,16.18456268310547
2013-11-13,16.203859329223633
2013-11-14,16.438209533691406
2013-11-15,16.339555740356445
2013-11-18,16.141597747802734
2013-11-19,16.17024040222168
2013-11-20,16.028623580932617
2013-11-21,16.219722747802734
2013-11-22,16.17801856994629
2013-11-25,16.3006534576416
2013-11-26,16.601306915283203
2013-11-27,16.992212295532227
2013-11-29,17.306875228881836
2013-12-02,17.156232833862305
2013-12-03,17.625885009765625
2013-12-04,17.584808349609375
2013-12-05,17.67506217956543
2013-12-06,17.429807662963867
2013-12-09,17.629316329956055
2013-12-10,17.601917266845703
2013-12-11,17.471515655517578
2013-12-12,17.445995330810547
2013-12-13,17.255826950073242
2013-12-16,17.351377487182617
2013-12-17,17.27325439453125
2013-12-18,17.14192008972168
2013-12-19,16.945524215698242
2013-12-20,17.087448120117188
2013-12-23,17.743227005004883
2013-12-24,17.667909622192383
2013-12-26,17.550573348999023
2013-12-27,17.431995391845703
2013-12-30,17.258634567260742
2013-12-31,17.460933685302734
2014-01-02,17.215370178222656
2014-01-03,16.837217330932617
2014-01-06,16.92902946472168
2014-01-07,16.807960510253906
2014-01-08,16.91440200805664
2014-01-09,16.698408126831055
2014-01-10,16.586986541748047
2014-01-13,16.67382049560547
2014-01-14,17.005598068237305
2014-01-15,17.347015380859375
2014-01-16,17.250226974487305
2014-01-17,16.82757568359375
2014-01-21,17.089008331298828
2014-01-22,17.16495704650879
2014-01-23,17.310293197631836
2014-01-24,16.99563980102539
2014-01-27,17.133514404296875
2014-01-28,15.764077186584473
2014-01-29,15.58512020111084
2014-01-30,15.55492877960205
2014-01-31,15.580446243286133
2014-02-03,15.609396934509277
2014-02-04,15.835350036621094
2014-02-05,15.95362663269043
2014-02-06,16.046613693237305
2014-02-07,16.271102905273438
2014-02-10,16.562602996826172
2014-02-11,16.78083038330078
2014-02-12,16.77957534790039
2014-02-13,17.046022415161133
2014-02-14,17.03224754333496
2014-02-18,17.09486198425293
2014-02-19,16.82497215270996
2014-02-20,16.630226135253906
2014-02-21,16.44549560546875
2014-02-24,16.51750946044922
2014-02-25,16.34562110900879
2014-02-26,16.198150634765625
2014-02-27,16.52126693725586
2014-02-28,16.47649383544922
2014-03-03,16.524091720581055
2014-03-04,16.633045196533203
2014-03-05,16.66811180114746
2014-03-06,16.61770248413086
2014-03-07,16.607999801635742
2014-03-10,16.623029708862305
2014-03-11,16.784894943237305
2014-03-12,16.801179885864258
2014-03-13,16.614574432373047
2014-03-14,16.427961349487305
2014-03-17,16.49214744567871
2014-03-18,16.638050079345703
2014-03-19,16.633670806884766
2014-03-20,16.553516387939453
2014-03-21,16.684078216552734
2014-03-24,16.881954193115234
2014-03-25,17.063556671142578
2014-03-26,16.90043067932129
2014-03-27,16.827789306640625
2014-03-28,16.809011459350586
2014-03-31,16.805252075195312
2014-04-01,16.958986282348633
2014-04-02,16.98716163635254
2014-04-03,16.869436264038086
