Date,GOOGL
2013-07-10,22.56454086303711
2013-07-11,22.91945457458496
2013-07-12,22.98819351196289
2013-07-15,23.030282974243164
2013-07-16,22.90376091003418
2013-07-17,22.87735939025879
2013-07-18,22.681350708007812
2013-07-19,22.33067512512207
2013-07-22,22.681852340698242
2013-07-23,22.509998321533203
2013-07-24,22.48758316040039
2013-07-25,22.1090145111084
2013-07-26,22.05048370361328
2013-07-29,21.973773956298828
2013-07-30,22.189208984375
2013-07-31,22.110258102416992
2013-08-01,22.520458221435547
2013-08-02,22.578990936279297
2013-08-05,22.539884567260742
2013-08-06,22.32992935180664
2013-08-07,22.182483673095703
2013-08-08,22.2325439453125
2013-08-09,22.176509857177734
2013-08-12,22.05447006225586
2013-08-13,21.948368072509766
2013-08-14,21.6634464263916
2013-08-15,21.4106502532959
2013-08-16,21.342159271240234
2013-08-19,21.55983543395996
2013-08-20,21.554107666015625
2013-08-21,21.6514892578125
2013-08-22,21.760578155517578
2013-08-23,21.67340850830078
2013-08-26,21.578266143798828
2013-08-27,21.17379379272461
2013-08-28,21.133943557739258
2013-08-29,21.305299758911133
2013-08-30,21.092849731445312
2013-09-03,21.42858123779297
2013-09-04,21.70877456665039
2013-09-05,21.906278610229492
2013-09-06,21.906776428222656
2013-09-09,22.11772918701172
2013-09-10,22.13317108154297
2013-09-11,22.320463180541992
2013-09-12,22.24250602722168
2013-09-13,22.14313316345215
2013-09-16,22.11050796508789
2013-09-17,22.069412231445312
2013-09-18,22.498043060302734
2013-09-19,22.375255584716797
2013-09-20,22.492815017700195
2013-09-23,22.079126358032227
2013-09-24,22.087594985961914
2013-09-25,21.848247528076172
2013-09-26,21.871658325195312
2013-09-27,21.82732582092285
2013-09-30,21.815372467041016
2013-10-01,22.091577529907227
2013-10-02,22.116233825683594
2013-10-03,21.819854736328125
2013-10-04,21.726709365844727
2013-10-07,21.562076568603516
2013-10-08,21.261463165283203
2013-10-09,21.31600570678711
2013-10-10,21.624343872070312
2013-10-11,21.71773910522461
2013-10-14,21.82035255432129
2013-10-15,21.96729850769043
2013-10-16,22.366291046142578
2013-10-17,22.136159896850586
2013-10-18,25.190128326416016
2013-10-21,24.988142013549805
2013-10-22,25.080291748046875
2013-10-23,25.688247680664062
2013-10-24,25.54229736328125
2013-10-25,25.284521102905273
2013-10-28,25.279539108276367
2013-10-29,25.808542251586914
2013-10-30,25.663589477539062
2013-10-31,25.66757583618164
2013-11-01,25.579408645629883
2013-11-04,25.556245803833008
2013-11-05,25.441926956176758
2013-11-06,25.472562789916992
2013-11-07,25.103952407836914
2013-11-08,25.305192947387695
2013-11-11,25.16970443725586
2013-11-12,25.199342727661133
2013-11-13,25.71464729309082
2013-11-14,25.783390045166016
2013-11-15,25.741796493530273
2013-11-18,25.691736221313477
2013-11-19,25.53358268737793
2013-11-20,25.46160125732422
2013-11-21,25.754497528076172
2013-11-22,25.70020294189453
2013-11-25,26.049880981445312
2013-11-26,26.360708236694336
2013-11-27,26.477767944335938
2013-11-29,26.39009666442871
2013-12-02,26.262826919555664
2013-12-03,26.232440948486328
2013-12-04,26.354982376098633
2013-12-05,26.33405876159668
2013-12-06,26.646127700805664
2013-12-09,26.852102279663086
2013-12-10,27.014488220214844
2013-12-11,26.830930709838867
2013-12-12,26.648372650146484
2013-12-13,26.41998291015625
2013-12-16,26.723587036132812
2013-12-17,26.6458797454834
2013-12-18,27.01673126220703
2013-12-19,27.053342819213867
2013-12-20,27.411989212036133
2013-12-23,27.772626876831055
2013-12-24,27.69143295288086
2013-12-26,27.831403732299805
2013-12-27,27.854812622070312
2013-12-30,27.63215446472168
2013-12-31,27.912349700927734
2014-01-02,27.723310470581055
2014-01-03,27.521074295043945
2014-01-06,27.82791519165039
2014-01-07,28.364391326904297
2014-01-08,28.423419952392578
2014-01-09,28.149703979492188
2014-01-10,28.148210525512695
2014-01-13,27.968887329101562
2014-01-14,28.62689971923828
2014-01-15,28.607471466064453
2014-01-16,28.7967586517334
2014-01-17,28.655044555664062
2014-01-21,28.983055114746094
2014-01-22,29.015933990478516
2014-01-23,28.893394470214844
2014-01-24,27.99005699157715
2014-01-27,27.42717933654785
2014-01-28,27.96963119506836
2014-01-29,27.568893432617188
2014-01-30,28.27796745300293
2014-01-31,29.41318130493164
2014-02-03,28.22915267944336
2014-02-04,28.34695816040039
2014-02-05,28.472482681274414
2014-02-06,28.889907836914062
2014-02-07,29.32526397705078
2014-02-10,29.212936401367188
2014-02-11,29.64256477355957
2014-02-12,29.55564308166504
2014-02-13,29.88465118408203
2014-02-14,29.956876754760742
2014-02-18,30.158117294311523
2014-02-19,29.94542121887207
2014-02-20,29.989505767822266
2014-02-21,29.98153305053711
2014-02-24,30.198715209960938
2014-02-25,30.38526153564453
2014-02-26,30.389493942260742
2014-02-27,30.365585327148438
2014-02-28,30.276920318603516
2014-03-03,29.954137802124023
2014-03-04,30.258487701416016
2014-03-05,30.341922760009766
2014-03-06,30.375547409057617
2014-03-07,30.25550079345703
2014-03-10,30.17530632019043
2014-03-11,29.886890411376953
2014-03-12,30.06895637512207
2014-03-13,29.614669799804688
2014-03-14,29.209697723388672
2014-03-17,29.690385818481445
2014-03-18,30.16758155822754
2014-03-19,29.86846160888672
2014-03-20,29.816410064697266
2014-03-21,29.464736938476562
2014-03-24,28.839345932006836
2014-03-25,28.85902214050293
2014-03-26,28.192790985107422
2014-03-27,27.7522029876709
2014-03-28,27.898401260375977
2014-03-31,27.757930755615234
2014-04-01,28.26551628112793
2014-04-02,28.2707462310791
2014-04-03,28.439035415649414
