Ticker,Mode,DA (%),MAPE (%),RMSE,MAE,R2,Actual Last,Pred Last
ALIBABA.CSV,nan_sentiment,51.2871,3.4618,3.6608,2.968,0.8949,88.59,88.1118
ALIBABA.CSV,full_sentiment,50.099,4.2742,4.0041,3.5239,0.8742,88.59,91.9315
ALIBABA,nan_sentiment,51.2871,4.4111,4.2269,3.6275,0.8505,89.35,86.0219
ALIBABA,full_sentiment,52.0792,2.2352,2.6189,1.9226,0.9426,89.35,90.117
META.CSV,nan_sentiment,50.1577,1.9782,14.0265,9.9196,0.9925,748.91,783.0105
META.CSV,full_sentiment,49.5268,2.6095,17.8529,13.0854,0.9878,748.91,792.7728
VNM,nan_sentiment,43.8503,4.381,3196.6551,2914.3623,0.2859,62709.3,67033.36
VNM,full_sentiment,50.6579,1.5725,1250.3348,1037.735,0.8196,62709.3,63879.93
