Ticker,Mode,MSE,RMSE,MAE,MAPE (%),R2,DA (%),Actual Last,Pred Last,Model
ALIBABA,VAL,18.36832618713379,4.285828529833385,3.269378185272217,3.7439387,0.8538374304771423,49.69818913480885,84.130005,83.04947,DLinear_PriceOnly
AMAZON,VAL,26.67051887512207,5.164350769953767,3.931865930557251,2.8609116,0.9816468954086304,51.114922813036024,221.3,224.07668,DLinear_PriceOnly
APPLE,VAL,23.800800323486328,4.878606391530918,3.899660348892212,2.1697052,0.9738320112228394,48.88507718696398,252.20001,255.49936,DLinear_PriceOnly
GOOGLE,VAL,44.24050521850586,6.651353638057885,5.256680011749268,4.0805693,0.9515774846076965,50.25728987993139,192.69,185.29526,DLinear_PriceOnly
META,VAL,262.7191162109375,16.20861240856038,12.508528709411621,4.4490585,0.9894067645072937,51.45797598627787,591.24,611.78705,DLinear_PriceOnly
VNM,VAL,0.09926588088274002,0.3150648836077103,0.23903580009937286,1.8874792,0.8916754722595215,52.14408233276158,11.55,11.7639265,DLinear_PriceOnly
ALIBABA,VAL,18.365150451660156,4.285458021222487,3.115981340408325,3.523512,0.8538627624511719,52.112676056338024,84.130005,82.20053,NODE_PriceOnly
AMAZON,VAL,25.57468605041504,5.057142083273421,4.094268321990967,2.9851875,0.9824009537696838,49.39965694682676,221.3,228.08656,NODE_PriceOnly
APPLE,VAL,13.043789863586426,3.6116187317581607,2.793381452560425,1.56255,0.9856588840484619,53.00171526586621,252.20001,258.1008,NODE_PriceOnly
GOOGLE,VAL,28.62162971496582,5.349918664331806,4.124744892120361,3.3509467,0.9686728119850159,48.88507718696398,192.69,200.2711,NODE_PriceOnly
META,VAL,196.8576202392578,14.030595861874785,10.295644760131836,3.3894918,0.9920623898506165,48.88507718696398,591.24,615.5781,NODE_PriceOnly
VNM,VAL,0.1401730477809906,0.3743969120879479,0.29427656531333923,2.3069005,0.8470352292060852,49.57118353344768,11.55,11.915281,NODE_PriceOnly
ALIBABA,VAL,26.731901168823242,5.17029024028857,3.998271942138672,4.599003,0.7872858643531799,50.30181086519114,84.130005,84.209595,Hybrid_WithSentiment
AMAZON,VAL,61.28458023071289,7.828446859416808,5.845555782318115,3.9488463,0.9578275084495544,49.74271012006861,221.3,221.90486,Hybrid_WithSentiment
APPLE,VAL,228.6260986328125,15.12038685460172,10.27718734741211,5.451883,0.7486352324485779,51.45797598627787,252.20001,222.56775,Hybrid_WithSentiment
GOOGLE,VAL,51.776832580566406,7.195612036551609,5.617908000946045,4.244381,0.9433287382125854,50.25728987993139,192.69,187.99683,Hybrid_WithSentiment
META,VAL,2375.896484375,48.74316859186526,41.107913970947266,12.991552,0.90420001745224,46.312178387650086,591.24,511.21002,Hybrid_WithSentiment
VNM,VAL,0.13535013794898987,0.3678996302648181,0.28644508123397827,2.2501812,0.8522982597351074,51.114922813036024,11.55,11.865376,Hybrid_WithSentiment
