Stock,Model,R2,RMSE,MAE,MAPE,Actual_Last,Pred_Next_Day,Error_Next_Day
VNM,Baseline,-0.8230246514808666,2787.5544837724697,2406.25390625,3.9304570564177332,62800.0,59600.406,3199.59375
VNM,PSO-BiLSTM,-0.1649653910423543,2228.3511841718305,1995.92578125,3.2729527278602997,62800.0,60748.637,2051.36328125
META,Baseline,-8.98742701146952,31.276957995021462,30.92766357421874,5.015224896083153,609.46,631.0442,21.584189453124964
META,PSO-BiLSTM,0.37882595759531645,7.80017501460655,6.692862792968754,1.0908852590216656,609.46,611.90295,2.4429541015624636
GOOG,Baseline,-9.012773749615352,19.055660743348145,17.479916259765627,6.076297287689656,276.98,269.04,7.939991455078143
GOOG,PSO-BiLSTM,-1.8804745246217727,10.220657383494103,8.089849121093744,2.79326518197201,276.98,276.6649,0.3151135253906432
